"","RowNumber","CustomerId","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"1676",2802.4389536141,15778056.8028741,"Myers",633.486106804106,"France","Female",46.9722136082128,2.25694659794681,114068.645778416,1,1,1,85955.7784740797,"1"
"8517",8517,15783875,"Li Fonti",500,"France","Female",34,4,0,2,1,0,12833.96,"0"
"43741",7110.54791279184,15716610.7527643,"Gibbons",634.56620284263,"Spain","Female",49.7232383361552,9.4528164297808,108394.398170384,2.1823945234064,0,0,20783.460021774,"1"
"8857",8857,15759733,"McMillan",774,"France","Female",26,5,0,2,1,1,64716.08,"0"
"6302",788.908092207275,15652164.2390097,"Zikoranaudodimma",816.110494201072,"Germany","Female",51.6887182497885,5,95875.2334048435,1,1,0,66349.2662447854,"1"
"25581",3441.26175489649,15604501.230772,"Chia",714.683235744014,"Spain","Female",51.9796213377267,8.76296041160822,95867.1133083665,2.69074010290205,1,1,88317.229492133,"1"
"3666",3666,15748696,"Page",733,"France","Male",42,9,150507.21,1,0,1,169964.12,"0"
"8204",8204,15588566,"Wilkinson",778,"Spain","Male",33,5,116474.28,2,1,1,32757.55,"0"
"19861",3373.12441348657,15775641.0666206,"Su",647.623952326365,"France","Female",38.2479046527296,4.87185697909445,125360.691354252,1.62395232636482,1,1,152286.604520139,"1"
"8375",8375,15646720,"Tsui",628,"Spain","Female",55,7,0,3,1,0,85890.75,"1"
"3553.1",3553,15730161,"Marcelo",833,"France","Female",39,3,0,2,1,0,1710.89,"0"
"56671",6824.74712632364,15754185.1984983,"Sokolov",648.310555983102,"France","Female",54.6396554429084,10,138259.886733202,1,0,0,42874.661049057,"1"
"3685",3685,15714006,"Gardener",482,"France","Female",35,2,133111.73,1,0,1,79957.95,"0"
"26901",2557.06211471278,15648580.3747462,"Daniels",574.09536981862,"France","Female",35,7.45578043116257,0,1,1,0,136464.237407338,"1"
"5894.1",5894,15641004,"Doyne",605,"Spain","Female",48,10,150315.92,1,0,1,133486.36,"0"
"8961",8961,15657957,"Hughes",602,"Germany","Female",26,8,113674.2,1,1,0,197861.16,"1"
"6965",6965,15569249,"Howarth",576,"France","Female",55,6,44582.07,3,0,1,67539.85,"1"
"57961",9155.69730910845,15604508.1465261,"Sullivan",675.314758329187,"France","Female",47.0177797144279,3.49111014278606,114026.210190891,1,0,0,82213.1696745775,"1"
"4046.2",4046,15738516,"Kozlova",687,"Spain","Female",36,5,0,1,1,0,17696.22,"0"
"28531",7226.37722177897,15709440.1374805,"Dawkins",577.889640499372,"France","Male",55.8411571998149,8.85146989999339,16566.6359263603,4,1,1,13002.6571377708,"1"
"1928.1",1928,15647782,"Brown",729,"Germany","Male",36,8,152899.24,2,1,0,177130.33,"0"
"2955.1",2955,15775562,"Shoobridge",538,"France","Female",33,5,0,2,1,0,126962.41,"0"
"2835",2835,15649124,"Fang",850,"France","Male",30,9,121535.18,1,0,0,40313.47,"0"
"15601",2210.55597326579,15740715.5904053,"Scott",634.343878619839,"Spain","Male",51.1542007345706,3.61526642180979,0,1,0,1,115211.343955622,"1"
"51751",7541.26747920364,15623592.2267045,"Goering",628.655743953772,"Germany","Female",37.0253381608054,6.39493236783892,91013.4115840413,1,1,0,144431.099329602,"1"
"9261",9261,15649618,"Tomlinson",799,"Germany","Female",39,7,167395.6,2,0,1,139537.43,"0"
"2911",2998.88758766465,15623762.5763371,"Bellucci",734.660227997229,"Germany","Male",46.6800396516919,7.57999008707702,80243.9086532293,1,0,0,169300.514724769,"1"
"7949",7949,15592854,"Garcia",705,"France","Male",25,3,113736.27,1,0,1,196864.61,"0"
"5891.1",5891,15712777,"Kao",482,"France","Male",38,4,124976.19,1,1,0,35848.12,"0"
"6470",6470,15775042,"Ku",615,"France","Female",23,4,0,2,1,0,196476.19,"0"
"897.2",897,15733119,"Mistry",718,"France","Male",35,8,0,2,1,0,94820.85,"0"
"5784",5784,15727041,"Fiorentini",624,"France","Male",71,7,0,2,1,1,108841.83,"0"
"56551",8672.52601915598,15639192.4401611,"Eidson",659.580363281071,"Germany","Female",41.5445473790169,10,100695.162719996,1.31806842237711,0,0,73016.69520734,"1"
"17351",3036.77099177334,15571494.6014841,"Pirozzi",656.26046310598,"France","Female",43.0954856558237,6.61805737670511,135296.170770344,2.09548565582372,1,1,117727.197344542,"1"
"9966",9966,15690164,"Shao",627,"Germany","Female",33,4,83199.05,1,0,0,159334.93,"0"
"4624",4624,15699195,"Shen",709,"France","Female",24,3,110949.41,1,1,1,168515.61,"0"
"58011",8765.86091967113,15786922.1283517,"Onio",667.178046327084,"Germany","Female",40.2989308722317,4,79871.1933816941,3.85053456388414,1,0,114285.758040896,"1"
"2073.1",2073,15711015,"Hammonds",743,"France","Male",36,4,0,2,1,1,190911.02,"0"
"36381",4986.22137957742,15799207.9659889,"Martin",778.861815053271,"France","Female",39.8003779016435,1.51247638114728,37047.3926945285,1.51247638114728,1,0,176513.554426693,"1"
"5528.2",5528,15689602,"Findlay",698,"France","Male",38,2,130015.24,1,1,1,41595.3,"0"
"8747.1",8747,15577905,"Hammond",660,"France","Male",34,8,106486.66,2,0,1,182262.66,"0"
"2069",2069,15629338,"Collingridge de Tourcey",658,"Spain","Female",31,2,36566.96,1,1,0,103644.98,"1"
"9917",9917,15770516,"Evdokimov",616,"Spain","Female",44,7,193213.02,2,1,1,137392.77,"0"
"28191",4216.69049344026,15638717.6832751,"Paterson",607.532968794461,"France","Male",35.8411269956268,6.07943650218658,5618.62879671425,1,1,1,26474.1872574066,"1"
"2042",2321.25960539747,15697698.1997947,"Doyle",618.273152016569,"France","Female",43.4862184170634,2,141425.914525068,1,1,0,127016.55970235,"1"
"8782.1",8782,15751628,"Onyemachukwu",438,"France","Male",60,7,78391.17,1,0,1,49424.6,"0"
"45541",7342.09067574283,15593543.6815032,"Kruglova",665.549040629761,"France","Female",35.1467432461213,4,14701.8670021664,1,1,0,164545.798691088,"1"
"5127.1",5127,15655298,"Lewis",654,"Spain","Female",54,5,0,2,0,1,47139.06,"0"
"6605",6605,15801188,"Milliner",774,"France","Female",47,6,94722.88,1,0,1,61450.96,"0"
"5768",5768,15573284,"Olisanugo",579,"France","Female",45,2,0,2,0,0,11514.39,"0"
"27781",4133.51228850707,15697171.5376453,"Snider",720.853831889108,"France","Male",39.180978693068,9,100783.924757365,1,1,0,26090.4813897329,"1"
"8411",948.655208605342,15793390.0379871,"Craigie",665.618686442263,"France","Male",52.056438209489,0.788712358102202,133205.541960189,1,1,0,36355.0236999328,"1"
"8732",8732,15769125,"Palerma",727,"Spain","Female",41,10,0,2,0,1,47468.56,"0"
"2784",2784,15659475,"Chung",597,"France","Female",33,6,135703.59,2,0,0,74850.84,"0"
"9848",9848,15815097,"Root",603,"France","Female",34,9,0,2,1,0,167916.35,"0"
"6966.1",6966,15656188,"Davis",584,"Spain","Female",30,5,0,2,1,1,185201.58,"0"
"3264",3264,15807525,"Bailey",447,"France","Male",43,2,0,2,1,0,33879.26,"1"
"6851.1",6851,15579526,"O'Meara",551,"France","Male",42,1,50194.59,1,1,1,23399.58,"0"
"5687",5687,15713774,"Chikwendu",644,"Spain","Female",46,6,12459.19,1,0,0,156787.34,"1"
"9084.1",9084,15711396,"Henderson",427,"Spain","Male",40,8,0,2,1,1,82870.75,"0"
"2644",2644,15586870,"Ni",632,"France","Male",27,4,193125.85,1,1,1,152665.85,"0"
"5566",8753.3897787868,15669124.7618708,"Hughes",597.829923820682,"Germany","Female",27.489312921185,7.40427483152598,108356.355031712,1,1,0,193274.938514931,"1"
"7796.1",7796,15604497,"Beale",458,"Germany","Male",44,7,84386.57,1,1,0,178642.73,"0"
"6004",6004,15579892,"Doyle",708,"Spain","Male",19,7,112615.86,1,1,1,4491.77,"0"
"5461",8674.16825029696,15746346.5278923,"Lu",620.426252926234,"France","Female",36.6102842239197,2,0,2.53676140797324,1,0,81664.0922732075,"1"
"13851",2244.22414432094,15798165.2706679,"Glenny",718.495072167367,"France","Female",45.3011082476005,1.8602216495201,112528.440235003,1,1,0,21080.4179967543,"1"
"57051",7872.95347391185,15642743.6299325,"Genovesi",584.552012546686,"France","Male",46.9362258403562,10,118850.012791285,3.44798745331354,1,1,99650.459092652,"1"
"14910",698.596711764112,15589674.4981237,"Poole",670.190432971343,"France","Male",43.5832576998509,6,108645.096929925,1,1,1,101807.099479465,"1"
"7906",7906,15764491,"Greece",701,"Spain","Male",35,10,159693.9,2,1,1,71173.64,"0"
"7407.2",7407,15742009,"Hsueh",489,"Spain","Male",58,4,0,2,1,1,191419.32,"0"
"56981",8785.57210629433,15731977.8862871,"Chandler",525.322506873403,"France","Female",28.2177824322134,1.94555439194664,0,1,1,1,192047.596705003,"1"
"49781",8677.71818218986,15669703.3198498,"Trevisani",565.400061036926,"France","Female",47.6965527764987,2.39310555299744,99391.4024430814,1,1,0,68545.334425168,"1"
"8586",8586,15737047,"Weatherford",754,"France","Female",45,6,0,1,1,0,73881.68,"1"
"7678.4",7678,15711977,"Finch",695,"France","Male",36,4,161533,1,1,0,100940.91,"0"
"29761",4713.50384292193,15617592.0964703,"White",478.058734648861,"France","Male",53.5521396249533,2.94401745311916,0,1,1,0,108522.071681771,"1"
"2264",4757.68163528945,15713693.1650632,"Thornton",565.944679742679,"Germany","Female",38.685026020743,8.66535528423265,107549.765494186,1,1,1,117352.254454463,"1"
"34581",4760.33926929161,15609896.5391235,"Chiefo",540.628206314519,"Spain","Female",52.5549801620655,1.9109960324131,143866.607623366,1.0890039675869,1,0,4650.82806591584,"1"
"3751",3751,15793042,"Sung",629,"France","Male",39,2,129669.32,2,1,0,82774.07,"0"
"1835",3043.45311460644,15628905.4754018,"Nebeolisa",669.469568584114,"Spain","Female",42.0598172955215,1.64902047067881,128976.273808975,2.6754897646606,1,1,143102.198209077,"1"
"1066",1066,15692744,"Davison",512,"France","Male",36,4,152169.12,2,0,0,38629.3,"1"
"3623.2",3623,15720338,"Mazzanti",592,"Spain","Male",55,8,85845.43,2,1,1,128918.42,"0"
"29211",5360.68424843065,15676071.0455069,"Graham",803.050568970852,"France","Male",44.9526352561079,8,94402.4046341062,1,1,0,111793.161267931,"1"
"60",1396.16245624982,15775402.2056154,"Mai",594.836084538139,"Spain","Female",42.4031454450451,7.12913940660655,50578.13243182,3,1,1,151585.972174459,"1"
"9002.1",9002,15733111,"Yeh",688,"Spain","Male",32,6,124179.3,1,1,1,138759.15,"0"
"1496",1599.87558098882,15731841.4825795,"Fanucci",791.382749779616,"Germany","Male",45.7226556998212,3.27734430017881,93042.4296199202,1,1,1,20505.640373838,"1"
"3599.1",3599,15632079,"Hardy",720,"Germany","Female",37,8,156282.79,1,1,0,45985.52,"0"
"8064",8064,15663888,"Connor",549,"Germany","Male",34,6,204017.4,2,1,0,109538.35,"0"
"25511",4009.56706662336,15678062.0071875,"Brown",806.198767858557,"Germany","Male",45.5691201924346,8.90766861266457,178709.214377631,1,1,0,13334.6740314154,"1"
"6521.1",6521,15694143,"Conti",686,"France","Female",41,10,0,1,1,0,133086.45,"0"
"2202.3",2202,15682435,"P'eng",600,"France","Male",35,4,143744.77,2,1,0,104076.51,"0"
"2489",6476.35386589356,15643675.5182288,"Miller",619.040286202449,"Spain","Female",46.0805724048987,8.01342873414978,63066.189218087,1,1,1,132904.715295031,"1"
"54521",8542.71357460856,15629051.2030054,"Watson",688.973908282816,"France","Female",34,7.83717385353521,57371.365246881,1,1,0,157372.481590681,"1"
"1859.1",1859,15780746,"Tyndall",705,"France","Male",61,4,0,2,1,1,191313.7,"0"
"4933",4933,15661548,"Ferri",683,"France","Female",29,0,157829.12,1,0,0,129891.66,"0"
"3987",3987,15794345,"Ma",706,"Spain","Male",38,8,0,2,0,1,46635.11,"0"
"30821",4420.62321199756,15798628.1040879,"Onwumelu",714.645443393383,"France","Male",48.8818144644611,1.58831221936271,132739.707396146,1.79415610968135,1,0,145337.296132463,"1"
"16501",2308.44319825643,15782599.4288978,"Keeley",645.358972503105,"France","Male",48.194138929015,8.06471297633834,7157.9288451043,2,0,1,42127.6960854895,"1"
"59581",9188.16731150751,15723417.6315764,"McGregor",550.640443311771,"France","Female",51.7545706506353,9,106634.348647554,1,0,0,83336.2158614482,"1"
"3580",3580,15670943,"See",778,"Germany","Male",31,9,182275.23,2,1,0,190631.23,"0"
"4130",4130,15810829,"Macfarlan",618,"France","Male",48,7,0,1,1,0,13921.82,"1"
"2424.2",2424,15714877,"MacDevitt",662,"France","Female",29,10,0,2,1,0,137508.31,"0"
"3638",3638,15809320,"McElhone",845,"Spain","Female",52,0,0,1,1,0,31726.76,"1"
"1743",1743,15578603,"Alexeieva",584,"Germany","Female",54,1,77354.37,1,0,0,138192.98,"1"
"6294.1",6294,15783083,"Shubin",534,"France","Male",27,9,0,2,1,0,161344.13,"0"
"649.2",649,15633064,"Stonebraker",438,"France","Female",36,4,0,2,1,0,64420.5,"0"
"29.1",29,15728693,"McWilliams",574,"Germany","Female",43,3,141349.43,1,1,1,100187.43,"0"
"8467.1",8467,15772383,"Toscani",613,"France","Male",36,9,131307.11,1,0,0,83343.73,"0"
"4491",8460.29620582797,15763035.826371,"Henderson",585.942278442439,"France","Female",58.6389873435255,9.27797468705103,161690.874603978,1,0,0,8277.21553478765,"1"
"18211",2709.68570243521,15670710.698884,"Obinna",435.408795550931,"Germany","Male",50.6889253598638,3.05700324522331,97270.7796740821,4,1,0,194341.186435049,"1"
"29031",4129.89610198699,15638275.6969276,"Allan",768.209247533698,"Germany","Female",55.8225929276086,10,82473.8908038184,3.17740707239136,1,1,72224.0661582045,"1"
"6870",6870,15654457,"Cross",685,"Spain","Female",30,2,0,3,1,1,172576.43,"1"
"9973",9973,15747927,"Ch'in",758,"France","Male",26,4,155739.76,1,1,0,171552.02,"0"
"2116",2116,15718893,"Pirozzi",404,"Germany","Female",54,4,125456.07,1,1,0,83715.66,"1"
"8536",8536,15754940,"Descoteaux",597,"Spain","Male",43,2,85162.26,1,0,1,5104.08,"1"
"38210",282.239697401877,15635042.9074949,"Hudson",679.706247555092,"Germany","Female",33.1617190556135,8.65588539629243,101318.250770388,2.34411460370757,0,1,104609.674178715,"1"
"9406",9406,15807900,"Chineze",575,"France","Male",36,7,0,1,1,1,55868.97,"1"
"8123",8123,15603749,"Galkina",564,"France","Female",53,2,45472.28,1,1,1,41055.71,"1"
"4614",4614,15792565,"Duncan",745,"France","Female",46,7,0,2,1,1,67769.94,"0"
"49981",8879.5806375728,15663718.2230542,"Boni",739.784784768242,"Spain","Male",49.4824447082356,6.27633293764666,103636.807165602,1,1,0,191616.084659955,"1"
"12961",2496.14284519851,15767183.2463295,"Olisanugo",699.860820479691,"Germany","Female",44.4518700055778,1,129307.792928987,1,1,0,189570.893168578,"1"
"5739.2",5739,15654074,"Tuan",653,"France","Male",38,8,119315.75,1,1,0,150468.35,"0"
"9502.1",9502,15634146,"Hou",835,"Germany","Male",18,2,142872.36,1,1,1,117632.63,"0"
"394",394,15684548,"Demidov",556,"Spain","Male",38,8,0,2,0,0,417.41,"1"
"59341",9468.20896366565,15603542.442028,"Muir",845.245685576927,"France","Female",69.8954623057507,9.95197662198916,66265.3219801486,1,1,0,99795.8470803669,"1"
"14531",4091.97173496243,15580174.0806277,"Angelo",651.174848095747,"France","Male",44.3946200585924,8.1973100292962,139133.271396707,1,1,1,98861.8086533453,"1"
"4658.1",4658,15736302,"McKay",687,"France","Male",48,4,0,2,1,1,170893.85,"0"
"2793.1",2793,15742820,"Trevisano",535,"France","Female",45,2,0,2,0,1,170621.55,"0"
"8889",8889,15637788,"Schmidt",743,"France","Male",23,3,110203.77,1,1,0,95583.45,"0"
"7968",7968,15636812,"Rose",583,"France","Male",40,9,112701.04,1,0,0,29213.63,"0"
"9171",9171,15616028,"T'ao",694,"France","Male",30,2,0,3,0,1,15039.41,"0"
"4591.1",4591,15680167,"Thomson",635,"France","Female",78,6,47536.4,1,1,1,119400.08,"0"
"44161",7873.95061526913,15668314.837002,"Aitken",579.074296609499,"Germany","Male",59.4081050846726,1.40135084744543,124693.196972537,1.40135084744543,1,0,128252.420724718,"1"
"7470",7470,15717065,"Balashov",686,"France","Female",35,8,105419.73,1,1,0,35356.46,"0"
"3184",3184,15734161,"Nnonso",636,"France","Male",43,6,0,2,1,0,43128.95,"0"
"8766",8766,15791452,"Dann",675,"France","Male",39,1,0,2,1,0,153129.22,"0"
"3131",3131,15813113,"Chang",795,"Spain","Female",56,5,0,1,1,0,35418.69,"1"
"36191",6068.59930585185,15642076.3036698,"Greco",683.885369134601,"Germany","Female",46.5556769263931,6.11135385278612,106281.188940576,1.55567692639306,1,0,128791.514734281,"1"
"7216",7216,15684440,"Monaldo",548,"Germany","Male",32,2,98986.28,1,1,1,55867.38,"0"
"23131",3748.33022923023,15784310.1238231,"McElhone",767.642023183405,"Germany","Male",54.9590482935309,0.845442369580269,44203.2821668205,1,1,0,21722.0824487928,"1"
"14301",2390.07477799244,15590501.0175989,"Chien",504.998071281705,"France","Male",54.0307121523656,4,64517.1449303429,1.42418397823349,1,1,37247.0072426088,"1"
"48801",7019.36342987046,15736530.5592894,"Thomson",597.911432053894,"France","Female",47.1526505821384,0.632744315080345,93323.6818355216,2,1,0,183892.809197131,"1"
"2172.1",2172,15747174,"Hao",526,"Germany","Male",58,9,190298.89,2,1,1,191263.76,"0"
"2624.2",2624,15653696,"Goliwe",515,"France","Female",28,9,0,2,0,0,94141.75,"0"
"3212",6355.2066207407,15703868.6314193,"Sadler",594.317794872448,"Germany","Female",55.458267739974,1.21669290401042,125051.07386143,1,1,0,185385.473348009,"1"
"1156",1156,15768006,"Wu",729,"France","Male",34,3,152303.8,1,1,0,12128.69,"0"
"19021",2071.10147868982,15751895.0609622,"Jose",583.554611596745,"France","Female",41.9046702636406,4.36395212402567,156956.10201919,1,0,1,170108.074443064,"1"
"5799.1",5799,15797627,"Niehaus",732,"Spain","Male",54,0,134249.7,1,0,1,13404.4,"0"
"1300.1",1300,15795166,"Creswell",618,"Germany","Male",42,8,153572.31,2,1,1,76679.6,"0"
"5841",7569.79821076686,15571453.8781656,"Findlay",704.454720457783,"France","Male",26.4251757748425,1.84842651407234,0,1.15157348592766,1,0,32339.927053719,"1"
"5764",5764,15700965,"Toscano",724,"France","Female",32,6,0,2,1,1,150026.79,"0"
"6033",9756.3637994579,15722801.9227835,"Maclean",511.898819610011,"Spain","Male",45.9063518960029,8.17976392200217,121800.966496114,1,0,0,130888.021760334,"1"
"7219",7219,15767231,"Sun",757,"France","Male",36,7,144852.06,1,0,0,130861.95,"0"
"2772.1",2772,15715465,"Aksenova",714,"Germany","Male",28,7,77776.39,1,1,0,177737.07,"0"
"6097",6097,15738884,"Hu",642,"Germany","Male",41,4,157777.58,1,1,0,67484.6,"0"
"6636",6636,15678374,"Colombo",666,"France","Female",59,5,0,2,1,1,185123.09,"0"
"4976",8244.24452393828,15701297.7531227,"Robertson",593.581840396393,"Germany","Female",53.6697633462027,1.46604733075947,87559.6807126199,1.76697633462027,1,1,72988.9807679072,"1"
"32510",90.5531135471538,15709510.5736055,"He",522.90488328971,"France","Female",40.7653321335092,3.60495255235583,0,1,1,0,112558.021147374,"1"
"29531",5217.00395153277,15625977.3430312,"Ch'in",569.44685131032,"Spain","Female",49.7839566047769,1.35679132095538,143509.489191397,1.64320867904462,1,0,21033.6846254116,"1"
"5390",5390,15682728,"Mathews",774,"France","Female",32,4,0,2,0,0,114899.13,"0"
"2036",2036,15799825,"Bentley",583,"France","Female",44,8,0,2,1,1,27431.62,"0"
"16710",1357.08574257046,15578516.1570841,"Cheng",746.002979878336,"France","Female",53.1900031939149,8.07149952091277,120601.674737214,1,1,1,37304.6309011923,"1"
"2066",2066,15581840,"DeRose",626,"France","Male",33,8,0,2,1,0,138504.28,"0"
"3817.1",3817,15602554,"Vorobyova",664,"France","Female",31,9,114519.57,2,0,1,79222.02,"0"
"8452",8452,15580043,"Murray",575,"Spain","Female",22,8,105229.34,1,1,1,34397.08,"0"
"7036.2",7036,15686461,"Sarratt",558,"France","Female",56,7,121235.05,2,1,1,116253.1,"0"
"1821",1821,15797389,"Hsia",604,"Spain","Male",23,9,124577.33,1,1,1,7267.25,"0"
"4320.1",4320,15759456,"Lupton",609,"Spain","Male",34,7,140694.78,2,1,0,46266.63,"0"
"2958",2958,15789109,"Watson",686,"France","Female",41,10,0,1,1,1,144272.71,"1"
"2658.1",2658,15737782,"Brazenor",562,"France","Male",29,9,0,1,1,1,25858.68,"0"
"2577.1",2577,15673529,"Lombardo",645,"Spain","Male",36,4,59893.85,2,1,0,43999.64,"0"
"7026",7026,15711446,"Sinclair",569,"Spain","Female",51,3,0,3,1,0,75084.96,"1"
"6022",6022,15579891,"Milani",714,"France","Male",52,4,100755.66,1,1,1,186775.25,"0"
"5194",5194,15767757,"Pisano",562,"Spain","Female",29,9,120307.58,1,1,1,6795.61,"0"
"339",339,15636624,"Nwabugwu",805,"Spain","Female",39,5,165272.13,1,1,0,14109.85,"1"
"1453",1453,15774882,"Mazzanti",687,"France","Female",35,3,99587.43,1,1,1,1713.1,"1"
"2712",2712,15775741,"Powell",608,"France","Female",28,9,0,2,1,1,125062.02,"0"
"3966.1",3966,15775892,"Caldwell",748,"Spain","Female",23,8,85600.08,1,0,0,134077.71,"0"
"685.1",685,15747867,"Trevisani",583,"France","Male",24,9,135125.28,1,0,0,89801.9,"0"
"5378.1",5378,15672437,"Buccho",642,"France","Male",72,1,160541,2,1,1,142223.94,"0"
"7380",7380,15607746,"Belstead",573,"France","Female",36,1,0,1,1,1,56905.38,"0"
"7301",1356.53903854126,15794190.053837,"Sturt",680.546787718777,"France","Male",41,4.39885564986616,93235.8205492899,1,1,0,85881.7534761227,"1"
"858",858,15760550,"Duncan",741,"Spain","Male",39,7,143637.58,2,0,1,174227.66,"0"
"38861",7532.35953521263,15611587.8916474,"Yevdokimova",616.888821867295,"Germany","Female",36.1234642369673,1.43826788151637,82517.7794472389,1,1,1,175652.342795349,"1"
"8834.1",8834,15760873,"Lombardo",594,"France","Male",50,7,81310.34,1,1,1,183868.01,"0"
"26751",4082.4629617054,15678576.8561064,"Ruggiero",675.506630824413,"France","Male",49.8892642897554,1.03691190341488,0,1,1,0,13437.6550540051,"1"
"4642",4642,15786617,"Arcuri",485,"Germany","Male",34,3,133658.24,1,1,0,70209.83,"0"
"2875",2875,15733581,"Duncan",831,"Germany","Male",32,9,80262.66,1,1,0,194867.78,"0"
"9461",9461,15581089,"Knight",744,"Spain","Male",35,7,0,2,1,1,43036.6,"0"
"2288",2288,15619889,"Vasin",556,"France","Male",26,4,0,1,1,0,195167.38,"0"
"4598",4598,15677105,"Rossi",706,"Germany","Female",46,4,105214.58,1,1,0,108699.59,"1"
"1703",1703,15713644,"Marshall",686,"Spain","Male",22,5,0,2,1,0,158974.45,"0"
"23610",3690.61671229079,15612685.4049267,"Rene",635.453116979683,"France","Female",37.5479751261882,4.17803731071763,104716.933826198,2.27398756309412,0,0,164052.112742529,"1"
"4381",4381,15812241,"Udinese",438,"Germany","Male",59,7,127197.14,1,1,0,51565.98,"1"
"47181",7690.10226033628,15596061.4922669,"Flemming",686.750824234681,"France","Male",64.994886983186,2.62436087289825,109674.516295534,1,0,0,135964.094739053,"1"
"2130",2130,15664881,"Norton",702,"France","Male",34,4,100054.77,1,1,0,109496.45,"0"
"57410",1045.12274590298,15746953.4680689,"Scott",540.818646190222,"Spain","Male",36.9769032606855,0.755774184828624,28973.260669291,1,0,1,117055.471090483,"1"
"50971",6025.07306109183,15654189.1186124,"Wilder",638.02377021499,"Germany","Male",58.5905356751755,0.866140870843083,108009.029195154,1,1,0,57238.1994255479,"1"
"9379.1",9379,15762682,"Mitchell",709,"Spain","Female",35,1,111827.27,2,1,0,12674.68,"0"
"5823",5823,15671351,"Romani",624,"Spain","Male",35,2,0,2,1,0,87310.59,"0"
"7893",7893,15707025,"Fang",648,"Spain","Female",31,5,0,2,1,1,5199.02,"0"
"2780",2780,15781702,"Brookes",733,"Germany","Male",38,9,111347.37,2,0,1,194872.97,"0"
"2172",2172,15747174,"Hao",526,"Germany","Male",58,9,190298.89,2,1,1,191263.76,"0"
"9588",9588,15653050,"Norriss",719,"Germany","Female",76,10,95052.29,1,1,0,176244.87,"0"
"6684.1",6684,15710316,"Fang",454,"Spain","Female",48,5,144837.79,1,1,1,93151.77,"0"
"32021",6615.96391761885,15755471.1311702,"Manfrin",585.583047301974,"Germany","Male",52.2781569282524,1.54635948804207,119536.763858067,2.54635948804207,1,1,158347.454139159,"1"
"2538",4826.75371233281,15745996.5193649,"Northern",652.080386864254,"Germany","Female",50.6089530205354,4.66460546501912,154522.324033682,1,1,1,95722.8073990353,"1"
"1037.6",1037,15668958,"Chatfield",521,"France","Male",30,2,107316.09,1,1,0,64299.82,"0"
"9989",9989,15589329,"Pirozzi",775,"France","Male",30,4,0,2,1,0,49337.84,"0"
"7582.2",7582,15700511,"Hanson",708,"Germany","Male",42,9,176702.36,2,1,1,104804.74,"0"
"1214.1",1214,15624229,"Noble",694,"France","Female",22,4,0,2,1,1,11525.72,"0"
"1941",1941,15659651,"Ross",531,"Germany","Female",31,7,117052.82,1,1,0,118508.09,"1"
"9564.1",9564,15624374,"Maclean",703,"France","Male",28,9,0,2,0,1,2151.17,"0"
"17091",2492.10197279556,15579102.824364,"Jennings",542.713179737329,"France","Male",47.0293116322719,1.70760656660423,92328.8069964506,1,1,0,175644.011735765,"1"
"9448",9448,15810390,"Amadi",718,"France","Female",41,1,0,2,0,1,27509.52,"1"
"28641",4262.92873266572,15637342.2917485,"Chou",708.44175853068,"France","Male",42.7442175976466,7.67441132362001,98119.5219620119,1.44186289212666,1,1,41670.9630592271,"1"
"45711",6953.05853269156,15600765.7108435,"Tao",592.682836713269,"France","Female",51.4483103146777,4.69655402097851,99719.7138414538,1.69655402097851,1,0,162504.770217126,"1"
"8913",8913,15637354,"Yobachukwu",623,"France","Female",24,7,148167.83,2,1,1,109470.34,"0"
"2083.2",2083,15617617,"Stewart",811,"Spain","Male",39,7,0,2,1,1,177519.39,"0"
"5319",5319,15708046,"Knowles",744,"Spain","Male",31,0,117551.23,1,1,0,158958.9,"0"
"38351",7291.95799828926,15606832.9855486,"Angelo",751.868766429601,"Germany","Male",33.803441188531,3.16389619093388,143964.03014748,1,0,1,119639.03694214,"1"
"11461",3563.44448536308,15570405.393275,"Graham",570.355068493402,"Germany","Male",49.6594206152949,7.17874391796067,96255.1232353368,1,0,1,180590.797222948,"1"
"34471",6439.69805562496,15619680.1695637,"Paramor",727.557969873771,"France","Male",33.9502539858222,3.65746190212667,158644.646150243,1,0,0,61418.2519676289,"1"
"5852.3",5852,15722053,"Oguejiofor",576,"Spain","Male",33,3,0,2,0,1,190112.05,"0"
"4916",4916,15594409,"Belov",710,"France","Male",45,1,0,2,1,1,36154.66,"0"
"1608",1608,15648721,"Hsueh",711,"France","Male",64,4,0,2,1,1,3185.67,"0"
"9482",9482,15613787,"Chidubem",505,"Spain","Male",35,8,116932.59,1,1,0,91092.84,"0"
"2016",921.406470122514,15767388.9404342,"Ozoemena",725.026682129828,"Germany","Female",55.3744247085415,8.45814156951383,124429.959065736,1,1,0,137414.478376696,"1"
"405",1501.44670077972,15754607.4870087,"Kung",783.19444232434,"Spain","Female",42.8009262792766,5,104170.012862497,1,1,0,118939.243504118,"1"
"9250",9250,15795747,"Sheppard",787,"Spain","Female",39,7,171646.76,1,0,1,100791.36,"0"
"7780",7780,15699225,"Pirozzi",757,"France","Male",46,0,0,2,1,0,37460.05,"0"
"2821",2821,15813916,"Kudryashova",622,"France","Female",31,1,89688.94,1,1,1,152305.47,"0"
